A,B,Source,Note,Text
Gwyn Morgan,Fraser Institute,https://www.fraserinstitute.org/sites/default/files/2024-10/fi-2023-annual-report_1.pdf,Board member,<b>Gwyn Morgan</b> was on the board of directors at the <b>Fraser Institute</b> as recently as 2023.
Gwyn Morgan,Friends of Free Enterprise In Canada,https://torontosun.com/news/national/federal_elections/business-titans-take-out-ad-backing-poilievre-and-conservatives,Supported,"<b>Gwyn Morgan</b> backed Pierre Poilievre in the 2025 election, signing on to an ad campaign called <b>Friends of Free Enterprise in Canada</b>."
Gwyn Morgan,Globe and Mail,https://www.theglobeandmail.com/authors/gwyn-morgan/,Contributor,<b>Gwyn Morgan</b> has written for the <b>Globe and Mail</b>.
Gwyn Morgan,National Post,https://epaper.nationalpost.com/article/281878714117117,Contributor,<b>Gwyn Morgan</b> is regular contributor to the <b>National Post</b>.
Gwyn Morgan,Ovintiv,https://torontosun.com/news/national/federal_elections/business-titans-take-out-ad-backing-poilievre-and-conservatives,Former CEO,"<b>Gwyn Morgan</b> was the founding CEO of the Canadian oil company Encana, which later became <b>Ovintiv</b> after moving to the United States."
Gwyn Morgan,Pierre Poilievre,https://www.elections.ca/WPAPPS/WPF/EN/CCS/ContributionReport?returnStatus=1&reportOption=5&queryId=2995862c005d41fe9c7e67ac39c1e3f9&sortDirection=asc&sortOrder=0%2C1%2C2&totalRecordFound=90&current200Page=1&total200Pages=1&reportExists=True&displaySorting=True,Donated $12K,"A <b>Gwyn Morgan</b> from North Saanich, BC has disclosed $11,975 in donations to the Conservative Party of Canada while it has been led by <b>Pierre Polievre</b>."
Gwyn Morgan,Canada Strong and Free Network,https://www.desmog.com/gwyn-morgan-and-patricia-trottier-foundation/,Donated $4.1M,"The <b>Gwyn Morgan and Patricia Trottier Foundation</b> has donated $4,122,541 to the <b>Canada Strong and Free Network</b> and is listed as a partner on CSFN's website."
Gwyn Morgan,Canadian Constitution Foundation,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donated $1M,"The <b>Gwyn Morgan and Patricia Trottier Foundation</b> has donated $1,015,000 to the <b>Canadian Constitution Foundation</b> since 2007."
Gwyn Morgan,Fraser Institute,https://www.desmog.com/gwyn-morgan-and-patricia-trottier-foundation/,Donated $1.5M,"The <b>Gwyn Morgan and Patricia Trottier Foundation</b> has donated $1,500,000 to the <b>Fraser Institute</b> since 2007. Morgan has also been a member of Fraser's board since 1999."
Gwyn Morgan,Frontier Centre for Public Policy,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donated $200K,"The <b>Gwyn Morgan and Patricia Trottier Foundation</b> has donated $200,000 to the <b>Frontier Centre for Public Policy</b> since 2007."
